symbol,exchange,ngành
TVC,HNX,Financial Services
TVD,HNX,Basic Resources
TXM,HNX,Construction & Materials
UNI,HNX,Công nghệ
V12,HNX,Construction & Materials
V21,HNX,Bất động sản
VBC,HNX,Industrial Goods & Services
VC1,HNX,Construction & Materials
VC2,HNX,Construction & Materials
VC3,HNX,Bất động sản
VC6,HNX,Construction & Materials
VC7,HNX,Construction & Materials
VC9,HNX,Construction & Materials
VCC,HNX,Construction & Materials
VCM,HNX,Industrial Goods & Services
VCS,HNX,Construction & Materials
VDL,HNX,Thực phẩm & Đồ uống
VE1,HNX,Construction & Materials
VE3,HNX,Construction & Materials
VE4,HNX,Construction & Materials
VE8,HNX,Construction & Materials
VFS,HNX,Financial Services
VGP,HNX,Industrial Goods & Services
VGS,HNX,Basic Resources
VHE,HNX,Health Care
VHL,HNX,Construction & Materials
VIF,HNX,Basic Resources
VIG,HNX,Financial Services
VIT,HNX,Construction & Materials
VLA,HNX,Công nghệ
VMC,HNX,Construction & Materials
VMS,HNX,Industrial Goods & Services
VNC,HNX,Industrial Goods & Services
VNF,HNX,Industrial Goods & Services
VNR,HNX,Bảo hiểm
VNT,HNX,Industrial Goods & Services
VSA,HNX,Industrial Goods & Services
VSM,HNX,Industrial Goods & Services
VTC,HNX,Công nghệ
VTH,HNX,Industrial Goods & Services
VTJ,HNX,Personal & Household Goods
VTV,HNX,Construction & Materials
VTZ,HNX,Hóa chất
WCS,HNX,Industrial Goods & Services
WSS,HNX,Financial Services
X20,HNX,Personal & Household Goods
A32,UPCOM,Personal & Household Goods
AAH,UPCOM,Basic Resources
AAS,UPCOM,Financial Services
ABB,UPCOM,Banks
ABC,UPCOM,Telecommunications
ABI,UPCOM,Bảo hiểm
ABW,UPCOM,Financial Services
ACE,UPCOM,Construction & Materials
ACM,UPCOM,Basic Resources
ACS,UPCOM,Construction & Materials
ACV,UPCOM,Industrial Goods & Services
AFX,UPCOM,Bán lẻ
AG1,UPCOM,Personal & Household Goods
AGF,UPCOM,Thực phẩm & Đồ uống
AGP,UPCOM,Health Care
AGX,UPCOM,Bán lẻ
AIC,UPCOM,Bảo hiểm
AIG,UPCOM,Thực phẩm & Đồ uống
ALV,UPCOM,Construction & Materials
AMD,UPCOM,Bất động sản
AMP,UPCOM,Health Care
AMS,UPCOM,Industrial Goods & Services
ANT,UPCOM,Thực phẩm & Đồ uống
APC,UPCOM,Health Care
APF,UPCOM,Thực phẩm & Đồ uống
APL,UPCOM,Industrial Goods & Services
APP,UPCOM,Hóa chất
APT,UPCOM,Thực phẩm & Đồ uống
ART,UPCOM,Financial Services
ASA,UPCOM,Personal & Household Goods
ATA,UPCOM,Thực phẩm & Đồ uống
ATB,UPCOM,Construction & Materials
ATG,UPCOM,Basic Resources
AVC,UPCOM,"Điện, nước & xăng dầu khí đốt"
AVF,UPCOM,Thực phẩm & Đồ uống
AVG,UPCOM,Hóa chất
BAL,UPCOM,Industrial Goods & Services
BBH,UPCOM,Industrial Goods & Services
BBM,UPCOM,Thực phẩm & Đồ uống
BBT,UPCOM,Personal & Household Goods
BCA,UPCOM,Basic Resources
BCB,UPCOM,Basic Resources
BCP,UPCOM,Health Care
BCR,UPCOM,Construction & Materials
BCV,UPCOM,Travel & Leisure
BDG,UPCOM,Personal & Household Goods
BDT,UPCOM,Construction & Materials
BDW,UPCOM,"Điện, nước & xăng dầu khí đốt"
BEL,UPCOM,Personal & Household Goods
BGE,UPCOM,"Điện, nước & xăng dầu khí đốt"
BGW,UPCOM,"Điện, nước & xăng dầu khí đốt"
BHA,UPCOM,"Điện, nước & xăng dầu khí đốt"
BHC,UPCOM,Construction & Materials
BHG,UPCOM,Thực phẩm & Đồ uống
BHI,UPCOM,Bảo hiểm
BHK,UPCOM,Thực phẩm & Đồ uống
